"REF_DATE","GEO","price_indexes","house_price"
"1981-03","Regina, Saskatchewan","House only","21.5"
"1981-03","Regina, Saskatchewan","Land only","17.5"
"1981-03","Saskatoon, Saskatchewan","Total (house and land)","33.4"
"1981-03","Saskatoon, Saskatchewan","House only","36.4"
"1981-03","Saskatoon, Saskatchewan","Land only","26.0"
"1981-03","Alberta","Total (house and land)",""
"1981-03","Alberta","House only",""
"1981-03","Alberta","Land only",""
"1981-03","Calgary, Alberta","Total (house and land)","25.8"
"1981-03","Calgary, Alberta","House only","28.6"
"1981-03","Calgary, Alberta","Land only","19.6"
"1981-03","Edmonton, Alberta","Total (house and land)","36.1"
"1981-03","Edmonton, Alberta","House only","36.8"
"1981-03","Edmonton, Alberta","Land only","32.9"
"1981-03","British Columbia","Total (house and land)",""
"1981-03","British Columbia","House only",""
"1981-03","British Columbia","Land only",""
"1981-03","Kelowna, British Columbia","Total (house and land)",""
"1981-03","Kelowna, British Columbia","House only",""
"1981-03","Kelowna, British Columbia","Land only",""
"1981-03","Vancouver, British Columbia","Total (house and land)","92.2"
"1981-03","Vancouver, British Columbia","House only","97.5"
"1981-03","Vancouver, British Columbia","Land only","85.3"
"1981-03","Victoria, British Columbia","Total (house and land)","130.8"
"1981-03","Victoria, British Columbia","House only","210.6"
"1981-03","Victoria, British Columbia","Land only","50.9"
"1981-04","Canada","Total (house and land)","39.9"
"1981-04","Canada","House only","38.1"
"1981-04","Canada","Land only","41.2"
"1981-04","Atlantic Region","Total (house and land)",""
"1981-04","Atlantic Region","House only",""
"1981-04","Atlantic Region","Land only",""
"1981-04","Newfoundland and Labrador","Total (house and land)",""
"1981-04","Newfoundland and Labrador","House only",""
"1981-04","Newfoundland and Labrador","Land only",""
"1981-04","St. John's, Newfoundland and Labrador","Total (house and land)","36.2"
"1981-04","St. John's, Newfoundland and Labrador","House only","37.5"
"1981-04","St. John's, Newfoundland and Labrador","Land only","31.8"
"1981-04","Prince Edward Island","Total (house and land)",""
"1981-04","Prince Edward Island","House only",""
"1981-04","Prince Edward Island","Land only",""
"1981-04","Charlottetown, Prince Edward Island","Total (house and land)",""
"1981-04","Charlottetown, Prince Edward Island","House only",""
"1981-04","Charlottetown, Prince Edward Island","Land only",""
"1981-04","Nova Scotia","Total (house and land)",""
"1981-04","Nova Scotia","House only",""
"1981-04","Nova Scotia","Land only",""
"1981-04","Halifax, Nova Scotia","Total (house and land)",""
"1981-04","Halifax, Nova Scotia","House only",""
"1981-04","Halifax, Nova Scotia","Land only","32.5"
"1981-04","New Brunswick","Total (house and land)",""
"1981-04","New Brunswick","House only",""
"1981-04","New Brunswick","Land only",""
"1981-04","Saint John, Fredericton, and Moncton, New Brunswick","Total (house and land)","56.2"
"1981-04","Saint John, Fredericton, and Moncton, New Brunswick","House only","62.1"
"1981-04","Saint John, Fredericton, and Moncton, New Brunswick","Land only","38.0"
"1981-04","Quebec","Total (house and land)",""
"1981-04","Quebec","House only",""
"1981-04","Quebec","Land only",""
"1981-04","Québec, Quebec","Total (house and land)","31.0"
"1981-04","Québec, Quebec","House only","35.7"
"1981-04","Québec, Quebec","Land only","20.9"
"1981-04","Sherbrooke, Quebec","Total (house and land)",""
"1981-04","Sherbrooke, Quebec","House only",""
"1981-04","Sherbrooke, Quebec","Land only",""
"1981-04","Trois-Rivières, Quebec","Total (house and land)",""
"1981-04","Trois-Rivières, Quebec","House only",""
"1981-04","Trois-Rivières, Quebec","Land only",""
"1981-04","Montréal, Quebec","Total (house and land)","29.3"
"1981-04","Montréal, Quebec","House only","30.8"
"1981-04","Montréal, Quebec","Land only","21.0"
"1981-04","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Total (house and land)",""
"1981-04","Ottawa-Gatineau, Quebec part, Ontario/Quebec","House only",""
"1981-04","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Land only",""
"1981-04","Ontario","Total (house and land)",""
"1981-04","Ontario","House only",""
"1981-04","Ontario","Land only",""
"1981-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Total (house and land)","33.7"
"1981-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","House only","32.0"
"1981-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","Land only","40.6"
"1981-04","Oshawa, Ontario","Total (house and land)",""
"1981-04","Oshawa, Ontario","House only",""
"1981-04","Oshawa, Ontario","Land only",""
"1981-04","Toronto, Ontario","Total (house and land)","31.2"
"1981-04","Toronto, Ontario","House only","26.5"
"1981-04","Toronto, Ontario","Land only","40.0"
"1981-04","Hamilton, Ontario","Total (house and land)","31.0"
"1981-04","Hamilton, Ontario","House only","25.6"
"1981-04","Hamilton, Ontario","Land only","46.3"
"1981-04","St. Catharines-Niagara, Ontario","Total (house and land)","30.8"
"1981-04","St. Catharines-Niagara, Ontario","House only","28.6"
"1981-04","St. Catharines-Niagara, Ontario","Land only","35.6"
"1981-04","Kitchener-Cambridge-Waterloo, Ontario","Total (house and land)","34.6"
"1981-04","Kitchener-Cambridge-Waterloo, Ontario","House only","31.1"
"1981-04","Kitchener-Cambridge-Waterloo, Ontario","Land only","43.5"
"1981-04","Guelph, Ontario","Total (house and land)",""
"1981-04","Guelph, Ontario","House only",""
"1981-04","Guelph, Ontario","Land only",""
"1981-04","London, Ontario","Total (house and land)","33.3"
"1981-04","London, Ontario","House only","28.6"
"1981-04","London, Ontario","Land only","51.6"
"1981-04","Windsor, Ontario","Total (house and land)","60.6"
"1981-04","Windsor, Ontario","House only","63.9"
"1981-04","Windsor, Ontario","Land only","47.5"
"1981-04","Greater Sudbury, Ontario","Total (house and land)","56.9"
"1981-04","Greater Sudbury, Ontario","House only","57.0"
"1981-04","Greater Sudbury, Ontario","Land only","53.7"
"1981-04","Prairie Region","Total (house and land)",""
"1981-04","Prairie Region","House only",""
"1981-04","Prairie Region","Land only",""
"1981-04","Manitoba","Total (house and land)",""
"1981-04","Manitoba","House only",""
"1981-04","Manitoba","Land only",""
"1981-04","Winnipeg, Manitoba","Total (house and land)","27.4"
"1981-04","Winnipeg, Manitoba","House only","30.5"
"1981-04","Winnipeg, Manitoba","Land only","18.9"
"1981-04","Saskatchewan","Total (house and land)",""
"1981-04","Saskatchewan","House only",""
"1981-04","Saskatchewan","Land only",""
"1981-04","Regina, Saskatchewan","Total (house and land)","21.3"
"1981-04","Regina, Saskatchewan","House only","22.4"
"1981-04","Regina, Saskatchewan","Land only","17.8"
"1981-04","Saskatoon, Saskatchewan","Total (house and land)","34.6"
"1981-04","Saskatoon, Saskatchewan","House only","37.3"
"1981-04","Saskatoon, Saskatchewan","Land only","27.6"
"1981-04","Alberta","Total (house and land)",""
"1981-04","Alberta","House only",""
"1981-04","Alberta","Land only",""
"1981-04","Calgary, Alberta","Total (house and land)","26.7"
"1981-04","Calgary, Alberta","House only","30.1"
"1981-04","Calgary, Alberta","Land only","19.8"
"1981-04","Edmonton, Alberta","Total (house and land)","36.1"
"1981-04","Edmonton, Alberta","House only","36.9"
"1981-04","Edmonton, Alberta","Land only","32.9"
"1981-04","British Columbia","Total (house and land)",""
"1981-04","British Columbia","House only",""
"1981-04","British Columbia","Land only",""
"1981-04","Kelowna, British Columbia","Total (house and land)",""
"1981-04","Kelowna, British Columbia","House only",""
"1981-04","Kelowna, British Columbia","Land only",""
"1981-04","Vancouver, British Columbia","Total (house and land)","91.8"
"1981-04","Vancouver, British Columbia","House only","97.7"
"1981-04","Vancouver, British Columbia","Land only","84.2"
"1981-04","Victoria, British Columbia","Total (house and land)","130.8"
"1981-04","Victoria, British Columbia","House only","210.6"
"1981-04","Victoria, British Columbia","Land only","50.9"
"1981-05","Canada","Total (house and land)","40.6"
"1981-05","Canada","House only","38.9"
"1981-05","Canada","Land only","41.5"
"1981-05","Atlantic Region","Total (house and land)",""
"1981-05","Atlantic Region","House only",""
"1981-05","Atlantic Region","Land only",""
"1981-05","Newfoundland and Labrador","Total (house and land)",""
"1981-05","Newfoundland and Labrador","House only",""
"1981-05","Newfoundland and Labrador","Land only",""
"1981-05","St. John's, Newfoundland and Labrador","Total (house and land)","36.4"
"1981-05","St. John's, Newfoundland and Labrador","House only","37.7"
"1981-05","St. John's, Newfoundland and Labrador","Land only","31.9"
"1981-05","Prince Edward Island","Total (house and land)",""
"1981-05","Prince Edward Island","House only",""
"1981-05","Prince Edward Island","Land only",""
"1981-05","Charlottetown, Prince Edward Island","Total (house and land)",""
"1981-05","Charlottetown, Prince Edward Island","House only",""
"1981-05","Charlottetown, Prince Edward Island","Land only",""
"1981-05","Nova Scotia","Total (house and land)",""
"1981-05","Nova Scotia","House only",""
"1981-05","Nova Scotia","Land only",""
"1981-05","Halifax, Nova Scotia","Total (house and land)",""
"1981-05","Halifax, Nova Scotia","House only",""
"1981-05","Halifax, Nova Scotia","Land only","32.5"
"1981-05","New Brunswick","Total (house and land)",""
"1981-05","New Brunswick","House only",""
"1981-05","New Brunswick","Land only",""
"1981-05","Saint John, Fredericton, and Moncton, New Brunswick","Total (house and land)","57.2"
"1981-05","Saint John, Fredericton, and Moncton, New Brunswick","House only","63.3"
"1981-05","Saint John, Fredericton, and Moncton, New Brunswick","Land only","38.0"
"1981-05","Quebec","Total (house and land)",""
"1981-05","Quebec","House only",""
"1981-05","Quebec","Land only",""
"1981-05","Québec, Quebec","Total (house and land)","31.4"
"1981-05","Québec, Quebec","House only","36.1"
"1981-05","Québec, Quebec","Land only","21.2"
"1981-05","Sherbrooke, Quebec","Total (house and land)",""
"1981-05","Sherbrooke, Quebec","House only",""
"1981-05","Sherbrooke, Quebec","Land only",""
"1981-05","Trois-Rivières, Quebec","Total (house and land)",""
"1981-05","Trois-Rivières, Quebec","House only",""
"1981-05","Trois-Rivières, Quebec","Land only",""
"1981-05","Montréal, Quebec","Total (house and land)","29.7"
"1981-05","Montréal, Quebec","House only","31.1"
"1981-05","Montréal, Quebec","Land only","21.3"
"1981-05","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Total (house and land)",""
"1981-05","Ottawa-Gatineau, Quebec part, Ontario/Quebec","House only",""
"1981-05","Ottawa-Gatineau, Quebec part, Ontario/Quebec","Land only",""
